1,killed_a_player,1,
2,multi_kill,0,
3,gamemode_action,0,
4,streak,0,
5,end_game,0,
6,flak_gun_event,0,
7,one_v_one,0,
8,firing_range,0,
9,shootout,0,
10,social,0,
11,vendor,0,
12,supply_drop,0,
13,enter_hub,0,
14,player_rank_up,0,
15,division_rank_up,0,
16,zombies,0,
17,redeemed_challenge,0,
18,picked_up_payroll,0,
20,equippedSomethingInCAC,0,
21,completed_hq_onboard_phase1,0,
22,completed_hq_onboard_phase2,0,
23,completed_hq_onboard_phase3,0,
24,enter_scorestreak_training,0,
25,picked_up_orders,0,
26,completed_hub_fte,0,
27,social_score,0,
28,special_unlock,0,
29,_game_pump_mp,0,
30,_game_pump_zombies,0,
31,ranked_play_advance,0,
32,assists,1,
33,ugc_vote,0,
34,zombies_kills,1,
35,zombies_multikill,0,
36,zombies_jolts,0,
37,zombies_waves,0,
38,zombies_special,0,
39,zombies_st_patrick,0,
40,killed_a_zombie,1,
41,zombies_map_won,0,
42,zombies_dlc3_sv_unlock,0,
43,zombies_dlc3_ee_unlock,0,
44,zombies_dlc3_skull_unlock,0,
45,zombies_skin_unlock,0,
46,store,0,
